"page","2013-04-01 pi","2013-04-01 pv","2013-05-01 pi","2013-05-01 pv","2013-06-01 pi","2013-06-01 pv","2013-07-01 pi","2013-07-01 pv","2013-08-01 pi","2013-08-01 pv","2013-09-01 pi","2013-09-01 pv","2013-10-01 pi","2013-10-01 pv","2013-11-01 pi","2013-11-01 pv","2013-12-01 pi","2013-12-01 pv","2014-01-01 pi","2014-01-01 pv","2014-02-01 pi","2014-02-01 pv","2014-03-01 pi","2014-03-01 pv","2014-04-01 pi","2014-04-01 pv","2014-05-01 pi","2014-05-01 pv","2014-06-01 pi","2014-06-01 pv","2014-07-01 pi","2014-07-01 pv","2014-08-01 pi","2014-08-01 pv","2014-09-01 pi","2014-09-01 pv","2014-10-01 pi","2014-10-01 pv","2014-11-01 pi","2014-11-01 pv","2014-12-01 pi","2014-12-01 pv","2015-01-01 pi","2015-01-01 pv","2015-02-01 pi","2015-02-01 pv","2015-03-01 pi","2015-03-01 pv","2015-04-01 pi","2015-04-01 pv","2015-05-01 pi","2015-05-01 pv","2015-06-01 pi","2015-06-01 pv","2015-07-01 pi","2015-07-01 pv","2015-08-01 pi","2015-08-01 pv","2015-09-01 pi","2015-09-01 pv","2015-10-01 pi","2015-10-01 pv","2015-11-01 pi","2015-11-01 pv","2015-12-01 pi","2015-12-01 pv","2016-01-01 pi","2016-01-01 pv","2016-02-01 pi","2016-02-01 pv","2016-03-01 pi","2016-03-01 pv","2016-04-01 pi","2016-04-01 pv","2016-05-01 pi","2016-05-01 pv","2016-06-01 pi","2016-06-01 pv","2016-07-01 pi","2016-07-01 pv","2016-08-01 pi","2016-08-01 pv","2016-09-01 pi","2016-09-01 pv","2016-10-01 pi","2016-10-01 pv","2016-11-01 pi","2016-11-01 pv","2016-12-01 pi","2016-12-01 pv","2017-01-01 pi","2017-01-01 pv","2017-02-01 pi","2017-02-01 pv","2017-03-01 pi","2017-03-01 pv","2017-04-01 pi","2017-04-01 pv","2017-05-01 pi","2017-05-01 pv","2017-06-01 pi","2017-06-01 pv","2017-07-01 pi","2017-07-01 pv","2017-08-01 pi","2017-08-01 pv","2017-09-01 pi","2017-09-01 pv","2017-10-01 pi","2017-10-01 pv","2017-11-01 pi","2017-11-01 pv","2017-12-01 pi","2017-12-01 pv","2018-01-01 pi","2018-01-01 pv","2018-02-01 pi","2018-02-01 pv","2018-03-01 pi","2018-03-01 pv","2018-04-01 pi","2018-04-01 pv","2018-05-01 pi","2018-05-01 pv","2018-06-01 pi","2018-06-01 pv"
"denkmalkarte-berlin-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","13","12","12","10","15","13","12","11","5","5","1","1","14","11","9","9","3","3","3","3","4","4","5","5","13","9","2","2","4","4","6","5","3","3","19","10","17","17","38","37","33","31","11","9","8","8","1","1","2","2","3","3","3","3","14","11"
"grünanlagenbestand-berlin-einschließlich-der-öffentlichen-spielplätze-wms-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14"
"postleitzahlen-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","9","26","19","39","35","19","19","20","20","22","19","24","21","16","14","15","15","15","14","10","10","20","17","13","11","17","14","15","13","10","7","6","6","12","9","7","7","2","2","8","8","11","8","9","8","12","8","7","7","9","8","14","13","17","15","14","13"
"adressen-berlin-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","13","12"
"standardeinspeisprofil-bhkw-2012-berlin","","","","","11","10","3","3","7","5","3","3","4","4","3","2","4","4","3","3","6","5","1","1","1","1","2","2","3","3","8","8","6","5","9","7","13","13","3","3","5","5","6","5","2","2","11","11","14","10","6","6","12","11","12","11","10","9","10","10","2","2","3","3","2","2","4","4","10","9","5","5","7","6","5","5","21","17","6","6","15","10","7","7","3","3","11","10","4","3","5","5","1","1","6","6","4","4","8","7","6","6","9","8","8","7","9","6","9","9","3","3","4","4","4","4","2","2","8","6","1","1","7","5","13","13"
"rbs-bezirke-dezember-2014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","57","48","41","70","52","48","45","67","56","61","53","54","49","45","40","46","42","76","70","52","46","81","72","51","40","13","11","7","6","6","6","13","13","6","6","13","13","5","5","8","6","4","3","5","4","13","13","15","15","9","9","15","13","4","4","10","8","18","16","15","14","16","13","8","8","12","11","10","7","18","18","8","8","4","4","5","4","7","6","13","13"
"vbb-fahrplandaten-juni-2018-bis-mitte-dezember-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","13"
"detailnetz-bauwerke-wfs-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","1"
"schutzgebiete-nach-naturschutzrecht-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","4","4","4","4","2","2","13","12"
"alkis-berlin-gebäude-linien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","22","21","14","13","18","15","14","11","14","14","11","11","16","15","3","3","7","7","10","10","12","11","13","11"
"atkis®-dgm-digitales-geländemodell-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","4","4","6","5","11","9","7","7","13","12"
"einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","31","52","40","28","27","24","18","23","16","22","16","21","15","19","19","33","28","22","18","40","31","30","22","27","26","22","18","19","16","12","12"
"berliner-weihnachtsmärkte-2014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","64","357","266","199","143","46","36","19","15","6","6","8","7","7","5","11","10","4","4","1","1","6","5","27","22","83","66","12","12","28","27","27","27","24","24","25","25","29","29","16","16","15","15","18","18","20","20","26","26","23","22","13","13","","","1","1","13","13","28","28","25","25","15","15","16","16","10","10","21","21","26","22","22","22","15","15","11","11","6","6","10","10","16","16","6","6","12","12"
"blockkarte-15000-isu5-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","8","6","6","15","14","20","18","17","14","18","17","39","27","22","18","17","14","12","9","13","12","24","20","8","6","12","10","12","9","11","11","7","6","10","9","9","8","8","8","17","14","11","10","9","9","11","10","7","7","4","4","27","26","14","11","12","11"
"ortsteile-von-berlin-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","8","7","2","2","14","13","4","4","8","7","3","3","7","7","13","12","22","19","16","14","24","18","13","11","19","16","10","10","9","7","8","8","13","11","7","5","11","11","12","12"
"brandenburger-straßen-und-volksfeste-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","22","13","10","18","16","12","12"
"denkmalkarte-berlin-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","9","9","5","5","15","11","4","4","11","11","15","13","15","12","9","7","6","6","5","5","21","16","22","16","30","26","11","9","13","12","10","10","21","18","30","19","25","21","75","68","38","35","16","15","22","18","10","10","9","7","7","5","30","29","12","12"
"einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","48","37","31","42","39","30","26","33","30","34","30","19","16","21","20","29","25","18","17","31","26","27","27","15","14","6","6","13","11","9","9","3","3","5","4","5","5","6","6","5","4","3","3","10","9","2","2","10","8","6","6","8","8","8","8","11","9","8","7","5","4","7","7","7","6","15","9","3","3","3","3","9","9","3","3","1","1","11","10"
"einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","38","34","29","59","44","48","43","42","32","37","30","32","27","27","22","47","39","33","28","39","27","42","33","21","21","17","14","13","12","16","13","9","9","10","10","12","12","4","4","9","6","6","6","22","16","13","12","8","8","4","4","4","4","2","2","9","9","1","1","6","6","6","5","10","8","10","8","7","7","9","8","11","9","1","1","3","3","11","11"
"karte-von-berlin-15000-k5-farbausgabe-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","7","5","9","7","3","3","9","8","4","4","2","2","1","1","2","2","4","4","5","4","6","6","3","2","5","5","8","8","1","1","2","2","","","","","","","","","","","","","","","5","4","5","5","4","4","5","4","11","11"
"liste-der-badestellen-badegewäA4sserqualität","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","12","5","8","8","11","10","3","3","11","10","13","12","11","10"
"hausumringe-berlin-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7","8","8","14","11","16","15","20","18","16","12","31","23","18","14","19","17","4","4","2","2","22","17","12","10","9","8","12","12","15","13","6","6","","","","","","","3","2","1","1","4","4","","","","","2","2","1","1","1","1","11","1"
"schutzgebiete-nach-naturschutzrecht-inklusive-natura-2000-wms-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","9"
"los32019-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11"
"verschenken-statt-wegwerfen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","75","49","44","23","21","23","18","8","7","38","34","66","60","30","29","78","61","60","52","16","12","15","14","10","9","15","13","19","17","22","20","10","8","14","8","5","4","11","11","8","7","21","17","11","9"
"alkis-berlin-tatsächliche-nutzung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","7","7","12","9","16","14","10","9","11","9"
"einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129","103","66","54","91","75","76","64","53","46","48","43","52","43","61","48","64","58","50","42","60","54","60","51","32","28","7","6","15","14","10","8","7","7","10","10","9","7","7","6","6","4","4","3","10","9","8","6","6","6","6","6","15","13","11","10","2","2","5","4","2","2","6","5","11","8","8","7","6","6","6","5","8","6","3","3","6","6","10","8"
"vbb-fahrplandaten-april-bis-dezember-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","24","176","143","27","26","17","16","13","12","9","9","14","5","12","11","8","7","4","4","2","2","2","2","1","1","2","2","6","6","1","1","","","","","","","1","1","3","3","2","2","","","","","","","1","1","2","1","10","3"
"vbb-fahrplandaten-mitte-april-2018-bis-mitte-dezember-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","87","73","10","10"
"vbb-fahrplan-2013","1181","1012","814","695","445","375","196","179","196","168","174","154","220","174","140","127","87","67","54","48","37","34","36","31","91","64","52","45","39","35","27","24","36","31","20","18","36","31","22","21","32","27","29","24","23","18","18","17","28","27","36","34","35","31","29","26","15","14","30","27","75","66","42","36","19","17","15","15","24","20","23","23","26","25","31","30","16","12","27","24","18","15","13","12","10","9","22","13","8","8","16","15","8","7","28","18","6","6","13","11","10","6","8","8","16","13","10","10","10","10","11","9","8","7","4","4","9","9","5","5","15","11","11","10","10","10"
"bevölkerungszahlen-berlin","54","46","44","39","37","34","16","16","12","11","8","8","15","10","10","9","7","6","23","19","19","15","11","10","8","7","16","14","10","8","13","12","5","5","8","8","12","11","5","5","9","9","5","5","6","5","9","9","7","7","7","7","7","6","4","4","11","10","1","1","4","4","11","11","5","5","8","8","14","12","2","2","5","5","5","5","9","5","","","2","2","5","4","9","9","3","3","7","6","3","3","3","3","9","6","9","5","5","3","5","5","5","5","4","4","10","7","6","5","4","4","7","6","14","12","9","6","5","4","3","3","2","2","10","10"
"rbs-lor-lebensweltlich-orientierte-räume-dezember-2014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","58","76","65","84","67","84","70","47","44","55","49","31","26","36","29","50","41","63","47","36","30","48","39","36","30","22","19","9","8","37","30","11","10","10","8","15","14","8","8","7","6","7","5","5","5","9","8","9","7","3","3","5","5","5","5","12","11","7","6","13","10","20","18","6","5","15","13","10","8","3","3","8","8","3","3","","","6","6","10","10"
"statistische-blöcke-des-rbs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","9","14","13","9","8","10","8"
"adressen-kindertagespflegestellen-steglitz-zehlendorf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","26","63","48","24","18","5","4","2","2","13","10","5","4","20","19","5","5","2","2","2","2","2","2","26","20","10","8","5","5","10","7"
"vbb-fahrplandaten-dezember-2016-bis-dezember-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","72","213","171","27","22","13","12","18","17","20","16","5","4","3","3","2","2","2","2","2","2","4","4","2","2","2","2","5","4","1","1","1","1","1","1","9","5"
"dbpedia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","37","9","9","6","6","9","7","4","4","5","5","11","10","10","8","3","3","5","5","8","8","6","6","7","7","4","4","1","1","6","6","1","1","1","1","4","4","2","2","5","5","3","3","7","6","1","1","2","1","7","7","5","5","","","","","","","2","2","2","2","1","1","3","3","14","13","9","9"
"einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","27","23","37","33","28","27","9","9","13","13","21","18","13","11","22","18","9","9","20","20","13","10","15","13","17","15","17","16","15","15","14","13","17","15","18","17","12","12","9","9","7","6","18","17","16","16","19","15","12","11","6","5","9","9"
"erhaltungsverordnungsgebiete-§-172-baugb-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","8","5","3","3","8","7","5","5","13","11","16","12","13","13","11","9","12","12","8","5","8","7","8","8","14","12","4","3","13","10","6","6","2","2","8","8","10","9","9","8"
"breitbandversorgung-alle-technologien-privatverfügbarkeit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","16","12","5","4","3","2","1","1","46","41","9","9"
"überblick-kulturetat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7","33","29","15","13","13","12","9","9","5","5","6","6","17","14","22","16","9","8","9","8","20","17","21","15","15","14","18","12","8","6","12","12","8","7","16","15","16","16","7","7","9","8"
"senatsdokumente-bildung-jugend-familie-und-wissenschaft","","","","","","","","","","","","","","","","","30","24","67","30","29","24","9","6","11","10","5","4","8","7","3","3","13","9","7","6","3","3","9","9","2","2","7","7","6","6","13","11","6","6","12","12","9","9","10","9","1","1","4","4","3","3","6","6","2","2","1","1","9","8","4","4","4","4","9","9","4","4","6","5","5","5","5","5","4","3","1","1","4","3","5","5","9","9","11","9","14","10","8","7","4","4","5","5","6","6","6","6","8","7","9","9","4","4","7","7","8","8","5","5","13","12","10","10","9","8"
"senatsvorlagen","","","","","","","","","","","","","","","","","","","","","27","20","31","23","4","4","4","2","11","7","4","3","10","7","15","10","4","4","7","5","9","9","9","9","15","12","11","9","6","6","6","5","13","10","15","13","23","10","11","9","18","15","36","26","10","9","15","14","12","10","12","9","9","8","10","9","9","7","5","5","8","8","9","7","19","15","15","13","11","9","11","11","13","10","20","17","10","9","21","14","23","18","11","10","13","13","14","11","16","12","14","13","18","13","13","9","11","9","10","8","7","7","17","15","9","8"
"liste-der-häufigen-vornamen-2012","","","","","","","","","","","","","","","","","","","","","168","137","44","40","33","29","35","29","26","25","51","37","33","30","14","14","36","27","40","32","29","26","42","29","33","31","36","32","29","28","18","18","11","11","18","14","13","12","14","10","18","15","6","5","8","8","22","19","11","11","6","5","12","11","17","14","13","11","11","11","16","10","10","8","5","5","9","6","9","7","24","15","13","9","59","49","10","8","7","5","15","8","9","8","6","5","8","7","5","5","17","9","10","10","22","11","44","26","5","5","6","5","4","4","9","9"
"vbb-fahrplandaten-november-2017-bis-dezember-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","82","108","88","58","55","18","17","6","6","11","10","9","7","9","9"
"adressen-kindertagespflegestellen-friedrichshain-kreuzberg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9"
"sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-hilfe-zum","","","","","","","","","","","","","","","","","","","","","4","4","2","2","7","6","19","16","7","6","8","6","3","3","4","4","7","6","4","4","6","5","5","5","5","4","5","4","6","5","7","6","5","5","2","2","1","1","1","1","4","4","1","1","1","1","","","8","7","6","6","2","2","10","9","9","7","4","4","4","4","1","1","7","7","1","1","1","1","4","4","9","7","4","4","13","11","6","6","12","10","16","12","4","4","5","5","7","7","11","11","9","7","7","7","5","4","2","2","7","7","1","1","9","9"
"los52019-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9"
"alkis-berlin-sw-amtliches-liegenschaftskatasterinformationssystem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","15","15","12","24","24","12","10","9","8"
"sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empfängerinnen-und-2","","","","","","","","","","","","","","","","","","","","","","","6","6","1","1","9","9","12","10","4","4","1","1","4","4","8","8","4","4","6","6","2","2","","","5","5","6","6","20","17","3","3","4","4","9","8","7","7","3","3","5","5","6","5","10","9","16","15","5","5","12","11","5","5","10","9","1","1","4","3","3","3","8","8","3","3","1","1","","","9","9","18","16","10","8","14","14","24","22","24","20","16","15","1","1","2","2","2","2","2","2","","","","","2","2","","","3","3","8","8"
"adressen-berlin-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8"
"emobility-ladestationen-berlin","","","53","50","18","17","25","24","25","23","25","23","36","27","38","27","24","21","13","11","24","21","18","14","30","26","29","27","14","13","20","19","21","16","11","11","12","10","14","14","16","12","15","14","11","10","12","11","21","18","24","22","34","31","12","8","3","3","3","3","16","14","2","2","9","9","9","9","18","17","15","13","16","15","18","18","12","9","21","17","13","12","11","11","25","21","11","10","6","6","19","15","18","13","14","10","26","22","9","9","19","14","24","21","20","17","9","9","7","6","15","14","9","8","17","16","6","6","10","9","21","16","13","11","8","8"
"finanzämter-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","18","10","16","13","53","39","14","11","35","27","42","30","15","13","5","4","9","4","19","15","9","7","10","7","3","3","9","9","14","12","1","1","3","3","17","12","11","9","1","1","7","6","12","12","7","6","3","3","3","3","3","3","5","5","14","12","5","5","4","3","2","2","2","2","1","1","","","9","6","5","5","3","3","1","1","","","6","6","4","4","2","2","4","4","3","3","2","2","2","1","4","2","1","1","5","5","8","7"
"standorte-geförderter-kultureinrichtungen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","33","21","19","10","10","27","20","15","12","19","18","20","19","12","10","12","11","12","11","18","15","29","25","10","9","13","13","5","5","5","5","7","7","15","8","12","9","10","9","8","6"
"geometrien-der-wahlkreise-für-die-abgeordnetenhauswahl-berlin-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","51","29","24","26","19","35","30","45","38","44","39","31","22","19","17","22","15","35","33","47","45","144","125","6","6","4","4","10","6","8","6","4","4","6","5","60","55","40","32","17","15","20","18","7","7","18","16","6","6","10","9","6","4","5","5","3","3","3","3","2","2","6","6","8","5"
"wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2017-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","9","11","10","36","33","26","24","42","35","44","34","25","22","","","","","","","","","","","8","8"
"rbs-adressen-dezember-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","25","17","14","23","17","14","14","4","4","12","8","18","13","20","17","17","13","20","19","11","8","12","8","6","4","3","3","8","6"
"geologische-karte-110000-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","2","2","8","8","5","5","14","13","11","11","7","7","15","14","10","10","7","7","12","11","9","8","8","8"
"verwaltungseinheiten-im-inspire-datenmodell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","8","7"
"vbb-fahrplandaten-januar-2017-bis-dezember-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","99","193","148","78","62","140","110","97","74","19","16","2","2","6","6","10","6","8","8","23","22","8","6","1","1","5","3","10","10","6","6","6","6","8","8"
"bsr-recyclinghöfe-und-abfall-abc","","","","","","","","","","","46","36","24","20","14","12","17","13","14","13","19","12","19","11","17","9","14","13","5","5","10","9","10","8","5","5","57","42","16","16","5","4","14","14","11","11","14","12","8","8","7","7","51","21","23","15","7","7","7","6","6","6","6","4","3","3","8","5","9","9","5","5","5","4","10","8","4","4","2","2","","","5","5","6","5","3","3","12","8","31","27","12","9","9","9","20","17","9","9","5","5","12","8","12","12","13","12","5","5","19","18","6","6","7","6","7","6","3","3","17","16","15","13","8","4"
"entwicklung-luftqualität-emissionen-2015-umweltatlas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","7","7","8","8","7","7","4","4","7","6"
"bundesfernstraßen-berlin-wms-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","4","2","7","4"
"wochen-und-trödelmärkte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","28","22","121","92","45","37","35","32","38","35","118","96","70","55","85","65","102","84","36","27","50","40","24","19","39","31","80","59","41","32","11","10","49","41","57","36","49","28","49","39","80","67","109","84","73","62","81","62","40","38","114","98","69","57","38","29","36","26","15","15","24","21","36","30","44","39","78","63","89","73","70","56","43","34","44","27","18","17","40","22","27","14","4","4","15","10","","","1","1","7","2"
